# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Oct 22 10:22:29 BRT 2021 [seed=1634908943568]
# -overwrite aln.AllBr.Major_Brazilian_clade.cd-hit.HKY+I+G4_StrictClock_Exponential_Assym-Phylogeography.xml
state	joint	prior	likelihood	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.clock.rate	local.clock.rate	default.meanRate	local.meanRate	local.rates.CentreWest.MG	local.rates.CentreWest.Northeast	local.rates.CentreWest.RJ	local.rates.CentreWest.SP	local.rates.CentreWest.South	local.rates.MG.Northeast	local.rates.MG.RJ	local.rates.MG.SP	local.rates.MG.South	local.rates.Northeast.RJ	local.rates.Northeast.SP	local.rates.Northeast.South	local.rates.RJ.SP	local.rates.RJ.South	local.rates.SP.South	local.rates.MG.CentreWest	local.rates.Northeast.CentreWest	local.rates.RJ.CentreWest	local.rates.SP.CentreWest	local.rates.South.CentreWest	local.rates.Northeast.MG	local.rates.RJ.MG	local.rates.SP.MG	local.rates.South.MG	local.rates.RJ.Northeast	local.rates.SP.Northeast	local.rates.South.Northeast	local.rates.SP.RJ	local.rates.South.RJ	local.rates.South.SP	local.indicators.CentreWest.MG	local.indicators.CentreWest.Northeast	local.indicators.CentreWest.RJ	local.indicators.CentreWest.SP	local.indicators.CentreWest.South	local.indicators.MG.Northeast	local.indicators.MG.RJ	local.indicators.MG.SP	local.indicators.MG.South	local.indicators.Northeast.RJ	local.indicators.Northeast.SP	local.indicators.Northeast.South	local.indicators.RJ.SP	local.indicators.RJ.South	local.indicators.SP.South	local.indicators.MG.CentreWest	local.indicators.Northeast.CentreWest	local.indicators.RJ.CentreWest	local.indicators.SP.CentreWest	local.indicators.South.CentreWest	local.indicators.Northeast.MG	local.indicators.RJ.MG	local.indicators.SP.MG	local.indicators.South.MG	local.indicators.RJ.Northeast	local.indicators.SP.Northeast	local.indicators.South.Northeast	local.indicators.SP.RJ	local.indicators.South.RJ	local.indicators.South.SP	local.nonZeroRates	default.treeLikelihood	default.branchRates	local.branchRates	c_local.count[1]	coalescent
0	-1.1491689674176596E20	-1.149168967417659E20	-53021.17311312751	2021.2539032284742	43.717590073614616	1.0	100.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.5	0.001	1.0	9.999999999999972E-4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0	-52475.848710710714	0.0	0.0	127.0	-1.149168967417659E20
1000	-1.4661604136840205E13	-1.466160408449655E13	-52343.65429713612	2021.3208481150139	44.62943987588284	145.3988298611591	86.76993243107218	5.148297142135206	0.2541480859702842	0.24610396876181143	0.22312001943324258	0.2766279258346617	0.2015500456168727	0.7104932014186405	8.390206354834534E-4	1.521053807537298	8.390206354834554E-4	1.521053807537299	1.762957156361984	3.215065451510878	1.1848973214125742	2.66940713834636	0.5214590690565591	1.2797510540780634	3.223243373155838	3.405562167541664	3.3771642922868095	1.2205279155850672	3.7440545174107944	0.4370764194628467	12.675181804341168	2.412520804805007	0.6060367049615052	2.1045751968942454	1.27131769310901	1.179874154154163	4.415124062852637	1.4355789300056483	0.22343688506469472	6.872155430520243	3.9603014765991027	0.21071336097819687	3.206145409475799	0.16040671318189173	8.52664124821911	1.1109925146833266	3.4780930348983676	0.3545326164495526	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	16.0	-51861.028618334785	0.0	0.0	160.0	-1.466160408425417E13
2000	-2.156965595663369E9	-2.156913695700421E9	-51899.962948406785	2021.2967059514353	46.83998938230098	19708.834311294733	73.99195364235543	4.714868988103074	0.2723596749385105	0.2201838370407582	0.2185645764595622	0.28889191156116906	0.4581742969002777	0.8639224727218536	9.119321637535928E-4	1.6616277589327282	9.119321637535922E-4	1.6616277589327277	1.2048058227670244	0.850229057128672	0.6999612162042442	1.3868060727514715	4.174785611831143	1.112704851358805	1.2788290496458847	3.0837650536914785	1.1601886289661045	0.49309003930161427	1.6170361186692386	0.6440615540892228	7.248707540103576	0.616220058711288	1.8646541102516683	2.0692641521926367	1.8854232391513976	1.8052354215951238	1.4799614709719813	0.5771306441193126	0.2499727327538437	5.9676311933388675	12.232028455914406	0.13294836084031367	2.3506994690575795	0.7022664666653137	2.7214631356145413	1.2168821353794164	2.0824449984167974	0.734568951355206	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	14.0	-51453.26409250466	0.0	0.0	163.0	-2.156913469692867E9
3000	-127113.45368082314	-75380.33154326343	-51733.12213755971	2021.2879366077755	46.260162823844	3917918.031012407	61.228153891713	4.71543431296345	0.2777935324212754	0.20975299960317198	0.20172093636553648	0.31073253161001607	0.656720662443838	0.8776339899799372	8.018559908246082E-4	1.137309018676283	8.018559908246065E-4	1.1373090186762815	0.5482390499346462	1.328242447494782	2.4251845393617124	0.712579146568189	2.2226311932011074	0.5272233577987087	2.2687103148872994	5.315741531156616	0.49318553671940335	1.3980436361456705	2.1467653499612003	0.8911130103310785	6.995065630529601	1.1738867003739433	1.4241156211042743	3.503774717530576	3.6528480238901992	1.6482079642567637	1.6021048062660208	1.0979671362797858	0.5326480306622527	4.38002165725487	1.4784158420576758	0.10462687631000775	2.0846908832556728	0.21831858522463157	1.841557099831417	1.527757592257119	2.7173239955771185	0.21574536403284578	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	15.0	-51254.29240355485	0.0	0.0	155.0	-75192.86856763608
4000	-54445.14639428034	-2735.473772098562	-51709.67262218177	2021.3119949631966	44.09317642698362	5.764531649965705E7	57.01030072189297	4.723296911991817	0.27727764000311345	0.18882410682663	0.2062637528475567	0.3276345003226998	0.8406998279731327	0.8880264664066894	8.289673335170465E-4	1.240057363128369	8.289673335170475E-4	1.2400573631283696	1.9650769589089627	2.819357600979144	1.5786689160209812	0.6682522532811555	1.0122941405375958	0.359159255269811	1.7304580807229077	1.9802213935276936	2.190693165775596	1.2189360258502953	1.1172692044990367	1.281943654471785	8.917207678026987	1.946775054505614	0.3385010760925087	1.354429454032321	1.557939967094683	2.186222363415515	2.370746673761612	0.7782933637547135	0.932354636134435	4.451241598611134	4.125424918306884	1.0190511988426876	4.495544955040727	1.0372481196999677	0.8070553164851522	1.1132811942259144	0.46202089029031307	0.603805746193016	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	17.0	-51239.67072185275	0.0	0.0	138.0	-2544.706820879691
5000	-54711.56089839106	-3103.319236178393	-51608.24166221266	2021.2656076396286	45.59820580621101	6.959203520255925E7	54.416121916297485	4.939504378375391	0.2953250728791542	0.18337498494667936	0.1925369805211878	0.3287629616529785	0.993599015426801	0.8869429988109216	8.193982755995433E-4	1.5333859824902107	8.193982755995428E-4	1.5333859824902083	0.5900286338825127	2.0379410077415465	1.206246565088203	0.2811611251659663	2.052544392914055	0.49367076275192495	1.336041952261434	1.2946110083299092	0.9287509554422324	0.16600344444603396	0.6451369449180171	1.4644242292100302	5.4815936188400025	0.8272023750343368	1.8550790667620176	1.0000952202152336	2.2340879719092825	1.5152810389365927	3.4069751991620154	0.3052352580481544	0.3579667786975213	1.9999443105337744	3.34546336160378	0.2529025110213367	3.719039514146066	1.0860965239356792	1.2292720617799697	0.9395300896921998	0.28087452848389366	0.4730446004111855	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	14.0	-51152.37341438173	0.0	0.0	149.0	-2916.358906790569
6000	-54539.80807846179	-2914.318978684513	-51625.48909977728	2021.314605724274	43.71693261048066	6.8023714190281E7	56.23352168045012	4.881471407984247	0.2913722513131331	0.1836097080183899	0.19487257597405944	0.33014546469441736	1.1639519978118247	0.8869429988109216	8.778136353614561E-4	1.4073266837099723	8.778136353614568E-4	1.4073266837099734	1.5489092369375346	2.8700191189443864	0.42803949657740176	0.5293422525549873	0.7571861887538714	0.6064029645606153	1.3561995605245378	0.6655131063926177	0.3783318439020913	0.7812224399358229	0.657708734076809	0.6987609458376817	10.389013017841977	0.9266832346693403	3.5674128018864617	1.046768589846214	1.158064205918855	0.30387889939334145	1.3910738531122764	0.5830185970363088	0.6568285053912276	4.443823111355288	2.12341565241817	0.4422404919557802	3.921862314789598	1.5586239067289673	2.2830812235951985	1.3176010024006721	0.0960249450826635	0.45984031258114727	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	-51178.600578103666	0.0	0.0	146.0	-2727.4178412603565
7000	-54993.77784691587	-3357.514014367368	-51636.2638325485	2021.264992299466	44.73664595019766	5.60204976818031E7	53.90606159272426	4.62608232282584	0.2928950905711241	0.1858422515931591	0.1910045926516606	0.330258065184056	1.3414901990700918	0.886984960893353	8.257960805571243E-4	1.538446303076358	8.257960805571239E-4	1.5384463030763578	1.4152810904712467	0.7431291393828287	1.3611513797300472	0.9063817151908301	0.24546691000826007	1.0579617307411784	1.4762575246404486	0.6733078524091214	1.1713589744306343	1.8582389966827066	1.006362772164629	0.606845986734111	8.787181431038317	0.7960965855177884	0.8428735383701783	0.14556078501303846	1.1832017913432864	0.5801975519038262	3.536083591619991	0.45416650764582744	0.1867375861771001	3.1760309293371862	1.2167928476586671	0.45488164595848235	5.934265207347707	0.8052989006797844	3.2409016908844728	0.6632099947196296	0.21545559410527368	0.12401958023509281	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	17.0	-51185.03900776266	0.0	0.0	151.0	-3166.2136768094265
8000	-54651.08265327566	-3017.334793460123	-51633.747859815536	2021.2774122205162	45.90693331087636	7.121444092167863E7	55.69561887628113	5.429603624804561	0.29478001948103244	0.18007362262298582	0.19418710006200857	0.33095925783397295	1.2097026261249206	0.8838895256971638	8.195836376043194E-4	1.7885114133772806	8.195836376043225E-4	1.7885114133772826	3.61881201276418	0.6477713077917079	2.335188773890644	0.7993517141551606	0.42124201184087146	0.47651733517751543	0.2940466721136859	0.44101935840548234	0.9625964875059281	2.0077922448377095	1.0399865023986847	0.2695167447180902	6.630304669545932	1.525525093230367	0.4555844896010362	0.3273535603908874	1.2419120925283718	0.48576325643249213	2.5681115416626996	0.07719685331008362	0.46106533328083527	4.536927530922872	0.5846761269569002	1.5395534428167834	2.45042534298143	1.2681300713953165	4.269243208790618	0.6047613617867058	0.4472875870267701	0.678514185917835	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	19.0	-51190.11992834576	0.0	0.0	152.0	-2809.4856795770756
9000	-54541.05408220147	-2840.891415965751	-51700.162666235716	2021.2808848724424	46.5758839771638	4.320328983421988E7	54.85397282972791	4.551783347455043	0.2929290247921551	0.18245883165033702	0.19365288572353473	0.33095925783397295	0.9150705020325819	0.8887583289547054	8.702929634752029E-4	1.633703992457927	8.702929634752021E-4	1.6337039924579282	2.0700480326150097	1.7501817951131764	1.066257075914299	0.4392617067414101	0.039589123505171	0.9201350187219124	1.2394258060306522	0.6359106071200124	1.3080939026308849	0.5252861683417842	0.3624081492291219	0.6498903675022001	7.977440455174193	0.9480637970009603	0.570903733624127	0.3355053953954098	2.4318753313730492	0.6174286860926749	1.7683912058669622	0.22772406945840798	0.3116555382622351	5.6420545072292345	0.7398464849448476	1.5729680696453048	2.18376308904574	0.6855790414859528	0.3087566019899331	0.7487556319142692	0.6498803584454423	0.37654940833341	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	14.0	-51224.79569533755	0.0	0.0	174.0	-2651.7478604606963
